t,x,y,r,bh,bt,fh,ft,dx,dy,dr,dbh,dbt,dfh,dft,ubh,ubt,ufh,uft
0.102,-0.02741856,0.225726995,-0.535204316,-0.71,2.077176041,-1.1876,2.442,-0.138001961,0.162285542,-1.24676855,2.835387311,-2.179883019,3.086206228,-0.188091819,-3.748654879,-7.126096992,-4.279612884,0
0.103,-0.027568635,0.225903254,-0.536702609,-0.705,2.077176041,-1.1872,2.443,-0.135237903,0.15943452,-1.186615349,2.744900982,-2.105541956,2.939856282,-0.203760568,-3.760839292,-7.125396814,-4.221407113,0
0.104,-0.02771871,0.226079514,-0.538200901,-0.7,2.077176041,-1.1868,2.444,-0.132473845,0.156583499,-1.126462148,2.654414654,-2.031200893,2.793506336,-0.219429317,-3.773023705,-7.124696637,-4.163201342,0
0.105,-0.027868786,0.226255774,-0.539699194,-0.695,2.077176041,-1.1864,2.445,-0.129709788,0.153732477,-1.066308946,2.563928325,-1.95685983,2.647156391,-0.235098066,-3.785208118,-7.12399646,-4.104995571,0
0.106,-0.027979976,0.226382689,-0.540415724,-0.69,2.077176041,-1.186,2.446,-0.127314854,0.150023432,-1.02259637,2.492545022,-1.891859704,2.533976295,-0.234645202,-3.782697411,-7.125291196,-4.036710575,0
0.107,-0.028091166,0.226509605,-0.541132254,-0.685,2.077176041,-1.1856,2.447,-0.12491992,0.146314386,-0.978883794,2.421161718,-1.826859579,2.420796199,-0.234192339,-3.780186704,-7.126585932,-3.96842558,0
0.108,-0.028202356,0.22663652,-0.541848784,-0.68,2.077176041,-1.1852,2.448,-0.122524986,0.142605341,-0.935171217,2.349778415,-1.761859453,2.307616103,-0.233739475,-3.777675997,-7.127880669,-3.900140585,0
0.109,-0.028313546,0.226763435,-0.542565314,-0.675,2.077176041,-1.1848,2.449,-0.120130053,0.138896295,-0.891458641,2.278395112,-1.696859327,2.194436007,-0.233286612,-3.77516529,-7.129175405,-3.83185559,0
0.11,-0.028424737,0.226890351,-0.543281844,-0.67,2.077176041,-1.1844,2.45,-0.117735119,0.13518725,-0.847746065,2.207011808,-1.631859201,2.081255911,-0.232833748,-3.772654583,-7.130470141,-3.763570595,0
0.111,-0.028535927,0.227017266,-0.543998374,-0.665,2.077176041,-1.184,2.451,-0.115340185,0.131478205,-0.804033489,2.135628505,-1.566859076,1.968075815,-0.232380885,-3.770143876,-7.131764878,-3.6952856,0
0.112,-0.028647117,0.227144181,-0.544714904,-0.66,2.077176041,-1.1836,2.452,-0.112945252,0.127769159,-0.760320912,2.064245202,-1.50185895,1.854895719,-0.231928021,-3.767633169,-7.133059614,-3.627000605,0
0.113,-0.028758307,0.227271097,-0.545431434,-0.655,2.077176041,-1.1832,2.453,-0.110550318,0.124060114,-0.716608336,1.992861898,-1.436858824,1.741715623,-0.231475158,-3.765122462,-7.13435435,-3.55871561,0
0.114,-0.028869498,0.227398012,-0.546147964,-0.65,2.077176041,-1.1828,2.454,-0.108155384,0.120351068,-0.67289576,1.921478595,-1.371858698,1.628535527,-0.231022294,-3.762611755,-7.135649087,-3.490430615,0
0.115,-0.028980688,0.227524927,-0.546864494,-0.645,2.077176041,-1.1824,2.455,-0.10576045,0.116642023,-0.629183184,1.850095291,-1.306858573,1.515355432,-0.23056943,-3.760101048,-7.136943823,-3.42214562,0
0.116,-0.029091878,0.227651843,-0.547581024,-0.64,2.077176041,-1.182,2.456,-0.103365517,0.112932978,-0.585470607,1.778711988,-1.241858447,1.402175336,-0.230116567,-3.757590341,-7.138238559,-3.353860625,0
0.117,-0.029203068,0.227778758,-0.548297554,-0.635,2.077176041,-1.1816,2.457,-0.100970583,0.109223932,-0.541758031,1.707328685,-1.176858321,1.28899524,-0.229663703,-3.755079634,-7.139533296,-3.28557563,0
0.118,-0.029314259,0.227905674,-0.549014084,-0.63,2.077176041,-1.1812,2.458,-0.098575649,0.105514887,-0.498045455,1.635945381,-1.111858195,1.175815144,-0.22921084,-3.752568927,-7.140828032,-3.217290635,0
0.119,-0.029425449,0.228032589,-0.549730614,-0.625,2.077176041,-1.1808,2.459,-0.096180715,0.101805841,-0.454332879,1.564562078,-1.04685807,1.062635048,-0.228757976,-3.75005822,-7.142122768,-3.14900564,0
0.12,-0.029536639,0.228159504,-0.550447144,-0.62,2.077176041,-1.1804,2.46,-0.093785782,0.098096796,-0.410620302,1.493178774,-0.981857944,0.949454952,-0.228305113,-3.747547513,-7.143417505,-3.080720645,0
0.121,-0.029617143,0.228229296,-0.550671759,-0.615,2.077176041,-1.18,2.461,-0.092215315,0.094490321,-0.390888489,1.45320353,-0.939884558,0.895442006,-0.217675696,-3.618986003,-7.220166822,-3.02566175,0
0.122,-0.029697647,0.228299087,-0.550896374,-0.61,2.077176041,-1.1796,2.462,-0.090644849,0.090883847,-0.371156675,1.413228285,-0.897911172,0.84142906,-0.207046279,-3.490424492,-7.296916139,-2.970602855,0
0.123,-0.02977815,0.228368878,-0.551120989,-0.605,2.077176041,-1.1792,2.463,-0.089074383,0.087277373,-0.351424862,1.37325304,-0.855937786,0.787416114,-0.196416863,-3.361862981,-7.373665457,-2.915543961,0
0.124,-0.029858654,0.228438669,-0.551345604,-0.6,2.077176041,-1.1788,2.464,-0.087503916,0.083670898,-0.331693048,1.333277796,-0.8139644,0.733403168,-0.185787446,-3.233301471,-7.450414774,-2.860485066,0
0.125,-0.029939158,0.22850846,-0.551570219,-0.595,2.077176041,-1.1784,2.465,-0.08593345,0.080064424,-0.311961235,1.293302551,-0.771991015,0.679390222,-0.175158029,-3.10473996,-7.527164091,-2.805426171,0
0.126,-0.030019662,0.228578252,-0.551794834,-0.59,2.077176041,-1.178,2.466,-0.084362983,0.076457949,-0.292229421,1.253327306,-0.730017629,0.625377276,-0.164528613,-2.976178449,-7.603913409,-2.750367276,0
0.127,-0.030100166,0.228648043,-0.552019449,-0.585,2.077176041,-1.1776,2.467,-0.082792517,0.072851475,-0.272497608,1.213352062,-0.688044243,0.57136433,-0.153899196,-2.847616938,-7.680662726,-2.695308381,0
0.128,-0.030180669,0.228717834,-0.552244064,-0.58,2.077176041,-1.1772,2.468,-0.081222051,0.069245001,-0.252765794,1.173376817,-0.646070857,0.517351384,-0.143269779,-2.719055428,-7.757412043,-2.640249486,0
0.129,-0.030261173,0.228787625,-0.552468679,-0.575,2.077176041,-1.1768,2.469,-0.079651584,0.065638526,-0.23303398,1.133401572,-0.604097471,0.463338438,-0.132640363,-2.590493917,-7.834161361,-2.585190591,0
0.13,-0.030341677,0.228857416,-0.552693294,-0.57,2.077176041,-1.1764,2.47,-0.078081118,0.062032052,-0.213302167,1.093426328,-0.562124085,0.409325492,-0.122010946,-2.461932406,-7.910910678,-2.530131696,0
0.131,-0.030422181,0.228927208,-0.552917909,-0.565,2.077176041,-1.176,2.471,-0.076510652,0.058425578,-0.193570353,1.053451083,-0.5201507,0.355312546,-0.111381529,-2.333370896,-7.987659995,-2.475072801,0
0.132,-0.030502685,0.228996999,-0.553142524,-0.56,2.077176041,-1.1756,2.472,-0.074940185,0.054819103,-0.17383854,1.013475838,-0.478177314,0.3012996,-0.100752113,-2.204809385,-8.064409313,-2.420013906,0
0.133,-0.030583188,0.22906679,-0.553367139,-0.555,2.077176041,-1.1752,2.473,-0.073369719,0.051212629,-0.154106726,0.973500594,-0.436203928,0.247286654,-0.090122696,-2.076247874,-8.14115863,-2.364955011,0
0.134,-0.030663692,0.229136581,-0.553591754,-0.55,2.077176041,-1.1748,2.474,-0.071799253,0.047606154,-0.134374913,0.933525349,-0.394230542,0.193273708,-0.079493279,-1.947686363,-8.217907947,-2.309896117,0
0.135,-0.030744196,0.229206372,-0.55381637,-0.545,2.077176041,-1.1744,2.475,-0.070228786,0.04399968,-0.114643099,0.893550104,-0.352257156,0.139260761,-0.068863863,-1.819124853,-8.294657265,-2.254837222,0
0.136,-0.030807654,0.229227963,-0.553904171,-0.54,2.077176041,-1.174,2.476,-0.069359175,0.041069712,-0.111537284,0.877557809,-0.330358658,0.127440646,-0.055091836,-1.79492223,-8.31046303,-2.255832215,0
0.137,-0.030871112,0.229249554,-0.553991972,-0.535,2.077176041,-1.1736,2.477,-0.068489564,0.038139745,-0.108431468,0.861565514,-0.308460161,0.11562053,-0.041319809,-1.770719606,-8.326268796,-2.256827209,0
0.138,-0.03093457,0.229271145,-0.554079774,-0.53,2.077176041,-1.1732,2.478,-0.067619953,0.035209777,-0.105325652,0.845573219,-0.286561663,0.103800415,-0.027547782,-1.746516983,-8.342074561,-2.257822203,0
0.139,-0.030998029,0.229292735,-0.554167575,-0.525,2.077176041,-1.1728,2.479,-0.066750342,0.032279809,-0.102219837,0.829580923,-0.264663165,0.091980299,-0.013775755,-1.72231436,-8.357880327,-2.258817197,0
0.14,-0.031061487,0.229314326,-0.554255376,-0.52,2.077176041,-1.1724,2.48,-0.065880731,0.029349842,-0.099114021,0.813588628,-0.242764668,0.080160184,-3.73E-06,-1.698111737,-8.373686092,-2.25981219,0
